experiment_id,model,include_prior_grades,use_interactions,is_interpretable,is_exploratory,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,cv_pass_fail_accuracy_mean,cv_pass_fail_accuracy_std,cv_pass_fail_precision_mean,cv_pass_fail_precision_std,cv_pass_fail_recall_mean,cv_pass_fail_recall_std,cv_pass_fail_f1_mean,cv_pass_fail_f1_std,comparison
early_warning__baseline_features,mlp,False,False,False,True,3.3988561374324258,0.1849295918026245,2.493273375270754,0.18435986257571252,0.2239097894906302,0.026018469110882333,0.7854435038645564,0.008147283583732753,0.8687384881651002,0.029292834855831708,0.8557329116926805,0.027586608169429105,0.8613049225152309,0.00670048532432478,"Early warning, baseline features"
early_warning__with_interactions,mlp,False,True,False,True,3.3662740289183177,0.1652423954513407,2.455153834901196,0.17810015783773184,0.23823986051042664,0.027254545530702227,0.7710986382039013,0.016915118847520123,0.8524713976714239,0.015960044431053304,0.8537990926015938,0.019547928863159245,0.8529796598168031,0.013822018309199787,"Early warning, interaction features"
with_prior_grades__baseline_features,lasso,True,False,True,False,1.5609816137232522,0.1155270644472522,0.9511925878502521,0.032473930680632285,0.8356656282503614,0.019124527681971613,0.8658630842841368,0.026793676964494483,0.9870352847315959,0.005316245235910361,0.8398376373901385,0.029541876162691494,0.907230658446335,0.017402322670244556,"Prior grades, baseline features"
with_prior_grades__with_interactions,lasso,True,True,True,False,1.556717942301756,0.11058427548004811,0.9524698717633925,0.03130789651260259,0.836671281575921,0.017355959627472165,0.8677769598822229,0.024596434258110773,0.9856684116880621,0.006321645959955084,0.8434198884723896,0.025733767341863095,0.9088088653545375,0.01560705146991378,"Prior grades, interaction features"
