experiment_id,model,include_prior_grades,use_interactions,is_interpretable,is_exploratory,rmse,mae,r2,pass_fail_accuracy,pass_fail_precision,pass_fail_recall,pass_fail_f1
with_prior_grades__baseline_features,lasso,True,False,True,False,1.4783388377391553,0.9466026235391825,0.8501633883322574,0.8755980861244019,0.9858156028368794,0.852760736196319,0.9144736842105262
with_prior_grades__with_interactions,lasso,True,True,True,False,1.4972511027808617,0.9643225552681266,0.8463051717969401,0.8708133971291866,0.9788732394366197,0.852760736196319,0.9114754098360656
with_prior_grades__baseline_features,linear_regression,True,False,True,False,1.5056785572188025,0.9727228583778926,0.844570123600068,0.8708133971291866,0.9788732394366197,0.852760736196319,0.9114754098360656
with_prior_grades__baseline_features,ridge,True,False,True,False,1.5057241662971828,0.9727830619475719,0.8445607070871617,0.8708133971291866,0.9788732394366197,0.852760736196319,0.9114754098360656
with_prior_grades__with_interactions,ridge,True,True,True,False,1.5290403205200962,0.9873325078862325,0.8397094768884357,0.8708133971291866,0.9788732394366197,0.852760736196319,0.9114754098360656
with_prior_grades__with_interactions,linear_regression,True,True,True,False,1.5294126295229769,0.9876368350399671,0.8396314084823406,0.8708133971291866,0.9788732394366197,0.852760736196319,0.9114754098360656
with_prior_grades__baseline_features,decision_tree,True,False,True,False,1.6243554595774103,0.9434574540092547,0.8191026872116274,0.8708133971291866,0.9788732394366197,0.852760736196319,0.9114754098360656
with_prior_grades__with_interactions,decision_tree,True,True,True,False,1.6278084928907843,0.9484441632064903,0.8183327715209255,0.8708133971291866,0.9788732394366197,0.852760736196319,0.9114754098360656
with_prior_grades__with_interactions,mlp,True,True,False,True,1.6310364842611393,1.104700135411367,0.8176115543844709,0.8564593301435407,0.965034965034965,0.8466257668711656,0.9019607843137255
with_prior_grades__baseline_features,mlp,True,False,False,True,1.6561078256954533,1.090764966193717,0.8119613219666993,0.861244019138756,0.971830985915493,0.8466257668711656,0.9049180327868853
early_warning__with_interactions,mlp,False,True,False,True,3.3067476801288795,2.3377471245236707,0.25032662725275867,0.7559808612440191,0.8373493975903614,0.852760736196319,0.8449848024316109
early_warning__baseline_features,lasso,False,False,True,False,3.3927531077433715,2.398899683703293,0.21082288194393106,0.7990430622009569,0.8579881656804734,0.8895705521472392,0.8734939759036146
early_warning__with_interactions,lasso,False,True,True,False,3.4027615593628506,2.3952181024998147,0.2061599484756782,0.7942583732057417,0.8571428571428571,0.8834355828220859,0.8700906344410877
early_warning__baseline_features,ridge,False,False,True,False,3.4052423159190903,2.4039670983047965,0.20500204085381735,0.7990430622009569,0.8622754491017964,0.8834355828220859,0.8727272727272728
early_warning__baseline_features,linear_regression,False,False,True,False,3.4069389351598582,2.4049140973458574,0.20420964799467367,0.7942583732057417,0.8614457831325302,0.8773006134969326,0.8693009118541034
early_warning__baseline_features,mlp,False,False,False,True,3.4118153234825,2.3958210955766748,0.20192997112718547,0.784688995215311,0.8554216867469879,0.8711656441717791,0.8632218844984803
early_warning__with_interactions,ridge,False,True,True,False,3.4428510999650674,2.428381479430683,0.1873445520824012,0.7607655502392344,0.8509316770186336,0.8404907975460123,0.845679012345679
early_warning__with_interactions,linear_regression,False,True,True,False,3.4462557556825693,2.430989274086429,0.18573647784678615,0.7607655502392344,0.8509316770186336,0.8404907975460123,0.845679012345679
early_warning__with_interactions,decision_tree,False,True,True,False,3.6466713923364455,2.5031125573688837,0.08827632852670952,0.7416267942583732,0.8343558282208589,0.8343558282208589,0.8343558282208589
early_warning__baseline_features,decision_tree,False,False,True,False,3.675781705477758,2.550021398720767,0.07366218237225963,0.7416267942583732,0.8385093167701864,0.8282208588957055,0.8333333333333333
